id,requester_id,provider_id,skill_id,status,requested_date
1,1,4,6,completed,05-01-2024
2,4,1,1,completed,05-01-2024
3,2,5,8,completed,10-01-2024
4,5,2,2,completed,10-01-2024
5,3,7,12,completed,15-01-2024
6,7,3,4,completed,15-01-2024
7,9,2,2,completed,20-01-2024
8,6,7,13,completed,22-01-2024
9,12,1,1,pending,01-02-2024
10,1,12,19,pending,01-02-2024
11,13,4,6,pending,05-02-2024
12,8,6,10,pending,07-02-2024
13,3,8,14,expired,01-01-2024
14,11,9,15,expired,02-01-2024
15,10,8,23,pending,10-02-2024
